genes	se_fe_4dp	estimate_fe_4dp	foldc_fe_2dp	upperl_fe_2dp	lowerl_fe_2dp	pval_fe_3sig
EMCN	0.0435	-0.1107	-1.08	-1.02	-1.15	0.0118
EMD	0.0169	-0.0025	-1.00	1.02	-1.02	0.881
EMG1	0.0190	-0.0355	-1.02	1.00	-1.05	0.0619
EMID1	0.0155	0.0211	1.01	1.04	-1.01	0.175
EMILIN1	0.0200	-0.0331	-1.02	1.00	-1.05	0.0998
EML2	0.0277	-0.0310	-1.02	1.02	-1.06	0.264
EML3	0.0170	0.0028	1.00	1.03	-1.02	0.87
EML4	0.0202	0.0396	1.03	1.06	-1.00	0.0513
EMP1	0.0621	0.0532	1.04	1.13	-1.05	0.392
EMP2	0.0291	-0.0509	-1.04	1.00	-1.08	0.0817
EMP3	0.0311	0.0297	1.02	1.06	-1.02	0.34
EMR1	0.0127	0.0057	1.00	1.02	-1.01	0.655
EMX1	0.0404	-0.0647	-1.05	1.01	-1.10	0.112
EMX2	0.0474	0.1395	1.10	1.17	1.03	0.00349
ENAH	0.0383	0.0818	1.06	1.11	1.00	0.0336
ENC1	0.0256	-0.0153	-1.01	1.02	-1.05	0.551
ENDOD1	0.0270	0.0209	1.01	1.05	-1.02	0.438
ENDOG	0.0263	-0.0425	-1.03	1.01	-1.07	0.107
ENG	0.0298	-0.0759	-1.05	-1.01	-1.10	0.0114
ENGASE	0.0316	0.0004	1.00	1.04	-1.04	0.99
ENO1	0.0246	0.0511	1.04	1.07	1.00	0.0386
ENO2	0.0258	0.0063	1.00	1.04	-1.03	0.808
ENOPH1	0.0193	-0.0105	-1.01	1.02	-1.03	0.588
ENOSF1	0.0361	0.0142	1.01	1.06	-1.04	0.695
ENOX1	0.0286	-0.0381	-1.03	1.01	-1.07	0.185
ENPP2	0.0464	-0.0876	-1.06	1.00	-1.13	0.0602
ENPP4	0.0427	-0.0087	-1.01	1.05	-1.07	0.839
ENSA	0.0289	-0.0598	-1.04	-1.00	-1.08	0.0392
ENTPD1	0.0172	-0.0336	-1.02	1.00	-1.05	0.0515
ENTPD2	0.0197	-0.0085	-1.01	1.02	-1.03	0.667
ENTPD3	0.0221	-0.0066	-1.00	1.03	-1.04	0.763
ENTPD4	0.0212	0.0035	1.00	1.03	-1.03	0.87
ENTPD5	0.0174	0.0098	1.01	1.03	-1.02	0.576
ENTPD6	0.0184	0.0323	1.02	1.05	-1.00	0.0797
ENTPD7	0.0148	0.0124	1.01	1.03	-1.01	0.4
ENY2	0.0213	0.0111	1.01	1.04	-1.02	0.601
EP300	0.0286	0.0141	1.01	1.05	-1.03	0.622
EP400	0.0159	0.0218	1.02	1.04	-1.01	0.172
EPAS1	0.0332	-0.0023	-1.00	1.04	-1.05	0.946
EPB41L1	0.0304	-0.0182	-1.01	1.03	-1.06	0.55
EPB41L2	0.0219	-0.0232	-1.02	1.01	-1.05	0.29
EPB41L3	0.0353	-0.0699	-1.05	-1.00	-1.10	0.0487
EPB41L4A	0.0188	0.0099	1.01	1.03	-1.02	0.597
EPB41L5	0.0191	0.0068	1.00	1.03	-1.02	0.72
EPB42	0.0176	-0.0105	-1.01	1.02	-1.03	0.551
EPB49	0.0213	-0.0043	-1.00	1.03	-1.03	0.838
EPHA1	0.0174	0.0219	1.02	1.04	-1.01	0.211
EPHA2	0.0167	0.0100	1.01	1.03	-1.02	0.551
EPHA4	0.0263	-0.0006	-1.00	1.04	-1.04	0.981
EPHA5	0.0446	-0.0033	-1.00	1.06	-1.06	0.942
EPHB1	0.0285	0.0065	1.00	1.04	-1.03	0.821
EPHB2	0.0165	-0.0267	-1.02	1.00	-1.04	0.107
EPHB3	0.0115	0.0086	1.01	1.02	-1.01	0.454
EPHB4	0.0162	-0.0096	-1.01	1.02	-1.03	0.553
EPHB6	0.0203	-0.0084	-1.01	1.02	-1.03	0.68
EPHX1	0.0489	0.1068	1.08	1.15	1.01	0.0297
EPHX2	0.0281	0.0162	1.01	1.05	-1.03	0.566
EPM2A	0.0208	-0.0240	-1.02	1.01	-1.05	0.248
EPM2AIP1	0.0236	0.0089	1.01	1.04	-1.03	0.705
EPN1	0.0180	0.0121	1.01	1.03	-1.02	0.503
EPN2	0.0197	0.0401	1.03	1.06	1.00	0.0428
EPN3	0.0247	0.0022	1.00	1.04	-1.03	0.928
EPPK1	0.0237	0.0168	1.01	1.04	-1.02	0.481
EPRS	0.0181	0.0105	1.01	1.03	-1.02	0.563
EPS15	0.0192	-0.0460	-1.03	-1.01	-1.06	0.0174
EPS15L1	0.0198	0.0062	1.00	1.03	-1.02	0.752
EPS8	0.0277	0.0139	1.01	1.05	-1.03	0.616
EPS8L2	0.0200	-0.0131	-1.01	1.02	-1.04	0.515
EPS8L3	0.0149	0.0010	1.00	1.02	-1.02	0.949
EPX	0.0194	0.0346	1.02	1.05	-1.00	0.0766
ERAL1	0.0171	0.0032	1.00	1.03	-1.02	0.85
ERAP1	0.0392	-0.0071	-1.00	1.05	-1.06	0.856
ERBB2	0.0233	0.0373	1.03	1.06	-1.01	0.11
ERBB2IP	0.0336	-0.0105	-1.01	1.04	-1.05	0.755
ERBB3	0.0436	-0.1038	-1.07	-1.01	-1.14	0.0178
ERBB4	0.0277	0.0490	1.03	1.07	-1.00	0.0778
ERC1	0.0331	0.0643	1.05	1.09	-1.00	0.0531
ERC2	0.0297	-0.0007	-1.00	1.04	-1.04	0.98
ERC2.IT1	0.0313	0.0420	1.03	1.07	-1.01	0.181
ERCC1	0.0156	-0.0166	-1.01	1.01	-1.03	0.286
ERCC2	0.0162	-0.0066	-1.00	1.02	-1.03	0.683
ERCC3	0.0175	0.0045	1.00	1.03	-1.02	0.797
ERCC4	0.0173	-0.0038	-1.00	1.02	-1.03	0.828
ERCC6	0.0255	0.0389	1.03	1.06	-1.01	0.13
ERCC8	0.0163	-0.0019	-1.00	1.02	-1.02	0.909
ERF	0.0222	-0.0137	-1.01	1.02	-1.04	0.536
ERGIC2	0.0284	-0.0304	-1.02	1.02	-1.06	0.284
ERGIC3	0.0172	0.0125	1.01	1.03	-1.01	0.467
ERH	0.0303	0.0445	1.03	1.07	-1.01	0.143
ERI2	0.0185	0.0033	1.00	1.03	-1.02	0.86
ERI3	0.0223	0.0185	1.01	1.04	-1.02	0.408
ERLIN1	0.0179	0.0330	1.02	1.05	-1.00	0.0668
ERLIN2	0.0303	0.0540	1.04	1.08	-1.00	0.0764
ERMAP	0.0318	-0.0486	-1.03	1.01	-1.08	0.129
ERMP1	0.0223	-0.0049	-1.00	1.03	-1.03	0.826
ERN1	0.0152	0.0100	1.01	1.03	-1.01	0.509
ERN2	0.0226	-0.0061	-1.00	1.03	-1.04	0.788
ERO1L	0.0156	0.0147	1.01	1.03	-1.01	0.348
ERP29	0.0193	-0.0133	-1.01	1.02	-1.04	0.49
ERP44	0.0153	0.0039	1.00	1.02	-1.02	0.797
ESD	0.0207	0.0068	1.00	1.03	-1.02	0.744
ESF1	0.0335	0.0709	1.05	1.10	1.00	0.0354
ESPL1	0.0128	-0.0041	-1.00	1.01	-1.02	0.751
ESRP1	0.0144	0.0088	1.01	1.03	-1.01	0.542
ESRP2	0.0139	-0.0203	-1.01	1.00	-1.03	0.148
ESRRA	0.0190	0.0013	1.00	1.03	-1.03	0.947
ESRRG	0.0293	0.0381	1.03	1.07	-1.01	0.195
ESYT1	0.0235	-0.0126	-1.01	1.02	-1.04	0.594
ETF1	0.0165	-0.0062	-1.00	1.02	-1.03	0.708
ETFA	0.0270	0.0301	1.02	1.06	-1.02	0.265
ETFB	0.0205	0.0295	1.02	1.05	-1.01	0.151
ETFDH	0.0292	-0.0258	-1.02	1.02	-1.06	0.379
ETHE1	0.0206	0.0017	1.00	1.03	-1.03	0.936
ETNK2	0.0141	0.0471	1.03	1.05	1.01	0.000948
ETS2	0.0289	-0.1186	-1.09	-1.04	-1.13	5.36e-05
ETV1	0.0376	-0.0246	-1.02	1.03	-1.07	0.514
ETV3	0.0188	0.0240	1.02	1.04	-1.01	0.205
ETV4	0.0145	-0.0175	-1.01	1.01	-1.03	0.229
ETV5	0.0468	-0.0639	-1.05	1.02	-1.11	0.173
ETV6	0.0318	0.0212	1.01	1.06	-1.03	0.507
ETV7	0.0156	-0.0148	-1.01	1.01	-1.03	0.344
EVC	0.0137	0.0040	1.00	1.02	-1.02	0.768
EVI2A	0.0511	-0.1130	-1.08	-1.01	-1.16	0.0278
EVI2B	0.0345	-0.1407	-1.10	-1.05	-1.16	5.92e-05
EVL	0.0200	0.0083	1.01	1.03	-1.02	0.68
EVPL	0.0142	-0.0061	-1.00	1.02	-1.02	0.666
EVX1	0.0190	0.0143	1.01	1.04	-1.02	0.452
EWSR1	0.0206	-0.0228	-1.02	1.01	-1.04	0.27
EXD2	0.0151	-0.0217	-1.02	1.01	-1.04	0.153
EXO1	0.0187	-0.0000	-1.00	1.03	-1.03	0.998
EXOC1	0.0158	-0.0033	-1.00	1.02	-1.02	0.832
EXOC2	0.0231	0.0316	1.02	1.05	-1.01	0.172
EXOC3	0.0205	-0.0181	-1.01	1.02	-1.04	0.377
EXOC5	0.0225	-0.0313	-1.02	1.01	-1.05	0.166
EXOC7	0.0145	-0.0272	-1.02	1.00	-1.04	0.0609
EXOG	0.0141	-0.0198	-1.01	1.01	-1.03	0.162
EXOSC10	0.0234	-0.0110	-1.01	1.02	-1.04	0.639
EXOSC2	0.0175	0.0172	1.01	1.04	-1.01	0.326
EXOSC4	0.0212	0.0254	1.02	1.05	-1.01	0.231
EXOSC5	0.0166	0.0360	1.03	1.05	1.00	0.0311
EXOSC7	0.0188	0.0028	1.00	1.03	-1.02	0.88
EXOSC8	0.0196	-0.0005	-1.00	1.03	-1.03	0.98
EXOSC9	0.0165	0.0048	1.00	1.03	-1.02	0.771
EXT1	0.0201	-0.0122	-1.01	1.02	-1.04	0.545
EXT2	0.0187	-0.0023	-1.00	1.02	-1.03	0.903
EXTL1	0.0202	-0.0059	-1.00	1.02	-1.03	0.772
EXTL2	0.0253	0.0010	1.00	1.04	-1.03	0.969
EXTL3	0.0143	0.0114	1.01	1.03	-1.01	0.426
EYA1	0.0264	-0.0100	-1.01	1.03	-1.04	0.705
EYA2	0.0205	0.0326	1.02	1.05	-1.01	0.112
EZH1	0.0148	0.0215	1.02	1.04	-1.01	0.146
EZR	0.0474	0.0419	1.03	1.10	-1.04	0.378
F10	0.0210	-0.0334	-1.02	1.01	-1.05	0.114
F11	0.0154	-0.0117	-1.01	1.01	-1.03	0.447
F12	0.0235	-0.0098	-1.01	1.03	-1.04	0.676
F13A1	0.0302	-0.0286	-1.02	1.02	-1.06	0.345
F2	0.0170	-0.0169	-1.01	1.01	-1.04	0.322
F3	0.0585	0.1015	1.07	1.16	-1.01	0.0838
F8	0.0184	-0.0000	-1.00	1.03	-1.03	0.999
F8A1	0.0207	-0.0355	-1.02	1.00	-1.05	0.087
FA2H	0.0548	-0.0952	-1.07	1.01	-1.15	0.0834
FAAH	0.0199	0.0239	1.02	1.04	-1.01	0.231
FABP3	0.0293	-0.0390	-1.03	1.01	-1.07	0.183
FABP4	0.0323	0.0342	1.02	1.07	-1.02	0.291
FABP5	0.0419	0.0677	1.05	1.11	-1.01	0.108
FABP6	0.0302	0.0415	1.03	1.07	-1.01	0.17
FABP7	0.0390	0.0501	1.04	1.09	-1.02	0.2
FADD	0.0147	0.0115	1.01	1.03	-1.01	0.433
FADS1	0.0340	0.0633	1.04	1.09	-1.00	0.0637
FADS2	0.0294	-0.0095	-1.01	1.03	-1.05	0.747
FADS3	0.0164	0.0547	1.04	1.06	1.02	0.000986
FAF1	0.0143	0.0260	1.02	1.04	-1.00	0.0706
FAF2	0.0167	0.0423	1.03	1.05	1.01	0.0116
FAH	0.0427	0.0754	1.05	1.12	-1.01	0.0795
FAHD2A	0.0196	0.0342	1.02	1.05	-1.00	0.0814
FAIM	0.0405	-0.0835	-1.06	-1.00	-1.12	0.0411
FAIM2	0.0237	0.0327	1.02	1.06	-1.01	0.169
FAIM3	0.0221	-0.0439	-1.03	-1.00	-1.06	0.0478
FAM102A	0.0178	-0.0080	-1.01	1.02	-1.03	0.656
FAM107A	0.0402	0.1236	1.09	1.15	1.03	0.0023
FAM108A1	0.0225	-0.0017	-1.00	1.03	-1.03	0.939
FAM108B1	0.0241	-0.0342	-1.02	1.01	-1.06	0.157
FAM110B	0.0188	0.0250	1.02	1.04	-1.01	0.186
FAM110D	0.0171	0.0065	1.00	1.03	-1.02	0.704
FAM111A	0.0200	-0.0217	-1.02	1.01	-1.04	0.279
FAM114A1	0.0209	-0.0152	-1.01	1.02	-1.04	0.469
FAM114A2	0.0211	0.0149	1.01	1.04	-1.02	0.481
FAM117A	0.0248	0.0552	1.04	1.07	1.00	0.0267
FAM118A	0.0530	0.0113	1.01	1.08	-1.07	0.831
FAM120A	0.0214	-0.0140	-1.01	1.02	-1.04	0.514
FAM125B	0.0242	-0.0278	-1.02	1.01	-1.05	0.251
FAM127A	0.0167	-0.0167	-1.01	1.01	-1.03	0.318
FAM127B	0.0177	0.0284	1.02	1.04	-1.00	0.109
FAM129A	0.0499	-0.1143	-1.08	-1.01	-1.16	0.0228
FAM131A	0.0285	-0.0534	-1.04	1.00	-1.08	0.0625
FAM131B	0.0250	0.0238	1.02	1.05	-1.02	0.34
FAM134A	0.0240	0.0022	1.00	1.03	-1.03	0.928
FAM134B	0.0223	-0.0153	-1.01	1.02	-1.04	0.494
FAM134C	0.0258	0.0410	1.03	1.07	-1.01	0.114
FAM136A	0.0148	-0.0081	-1.01	1.01	-1.03	0.584
FAM13A	0.0329	0.0493	1.03	1.08	-1.01	0.136
FAM13B	0.0386	-0.0327	-1.02	1.03	-1.08	0.398
FAM149A	0.0403	0.0449	1.03	1.09	-1.02	0.267
FAM155A	0.0219	0.0013	1.00	1.03	-1.03	0.953
FAM155B	0.0178	0.0198	1.01	1.04	-1.01	0.267
FAM160B2	0.0176	0.0136	1.01	1.03	-1.01	0.442
FAM162A	0.0170	0.0167	1.01	1.04	-1.01	0.327
FAM163A	0.0250	0.0200	1.01	1.05	-1.02	0.425
FAM168B	0.0162	0.0238	1.02	1.04	-1.01	0.144
FAM169A	0.0402	0.0049	1.00	1.06	-1.05	0.902
FAM171A1	0.0170	-0.0387	-1.03	-1.00	-1.05	0.0236
FAM172A	0.0181	0.0634	1.04	1.07	1.02	0.000518
FAM173A	0.0225	-0.0381	-1.03	1.00	-1.06	0.0917
FAM174B	0.0151	-0.0055	-1.00	1.02	-1.02	0.718
FAM175B	0.0138	0.0230	1.02	1.04	-1.00	0.0949
FAM176B	0.0214	-0.0065	-1.00	1.02	-1.03	0.761
FAM178A	0.0225	-0.0111	-1.01	1.02	-1.04	0.623
FAM179B	0.0198	-0.0368	-1.03	1.00	-1.05	0.064
FAM182B	0.0275	-0.0019	-1.00	1.04	-1.04	0.945
FAM184A	0.0220	0.0316	1.02	1.05	-1.01	0.152
FAM189A1	0.0318	0.0575	1.04	1.09	-1.00	0.0714
FAM189A2	0.0315	0.0837	1.06	1.11	1.02	0.00834
FAM189B	0.0142	-0.0142	-1.01	1.01	-1.03	0.319
FAM190B	0.0209	-0.0105	-1.01	1.02	-1.04	0.618
FAM192A	0.0133	-0.0161	-1.01	1.01	-1.03	0.229
FAM193A	0.0189	0.0072	1.00	1.03	-1.02	0.704
FAM193B	0.0159	-0.0005	-1.00	1.02	-1.02	0.974
FAM206A	0.0161	0.0173	1.01	1.03	-1.01	0.284
FAM208A	0.0264	0.0357	1.03	1.06	-1.01	0.177
FAM208B	0.0253	0.0365	1.03	1.06	-1.01	0.15
FAM20B	0.0189	0.0018	1.00	1.03	-1.02	0.923
FAM212B	0.0175	-0.0370	-1.03	-1.00	-1.05	0.0349
FAM214B	0.0151	-0.0036	-1.00	1.02	-1.02	0.814
FAM216A	0.0264	-0.0584	-1.04	-1.00	-1.08	0.0279
FAM222B	0.0235	0.0095	1.01	1.04	-1.03	0.686
FAM32A	0.0141	0.0206	1.01	1.03	-1.00	0.147
FAM3A	0.0145	-0.0248	-1.02	1.00	-1.04	0.0878
FAM3C	0.0230	0.0156	1.01	1.04	-1.02	0.498
FAM46A	0.0368	-0.0046	-1.00	1.05	-1.05	0.901
FAM46C	0.0263	0.0097	1.01	1.04	-1.03	0.713
FAM48A	0.0227	0.0413	1.03	1.06	-1.00	0.07
FAM49A	0.0391	0.0242	1.02	1.07	-1.04	0.536
FAM49B	0.0186	-0.0284	-1.02	1.01	-1.05	0.128
FAM50A	0.0219	-0.0295	-1.02	1.01	-1.05	0.178
FAM50B	0.0178	-0.0408	-1.03	-1.00	-1.05	0.0227
FAM53B	0.0146	-0.0340	-1.02	-1.00	-1.04	0.0209
FAM53C	0.0172	0.0155	1.01	1.03	-1.01	0.368
FAM57A	0.0225	-0.0012	-1.00	1.03	-1.03	0.956
FAM59A	0.0414	-0.0119	-1.01	1.05	-1.07	0.774
FAM5B	0.0240	-0.0085	-1.01	1.03	-1.04	0.722
FAM5C	0.0452	0.0115	1.01	1.07	-1.05	0.799
FAM60A	0.0236	-0.0019	-1.00	1.03	-1.03	0.936
FAM63A	0.0131	-0.0174	-1.01	1.01	-1.03	0.184
FAM64A	0.0126	0.0160	1.01	1.03	-1.01	0.206
FAM65A	0.0146	-0.0067	-1.00	1.02	-1.02	0.644
FAM65B	0.0356	0.0701	1.05	1.10	1.00	0.0501
FAM69A	0.0186	-0.0224	-1.02	1.01	-1.04	0.229
FAM76A	0.0339	0.0234	1.02	1.06	-1.03	0.492
FAM82A2	0.0160	-0.0072	-1.00	1.02	-1.03	0.654
FAM82B	0.0327	0.0516	1.04	1.08	-1.01	0.116
FAM89B	0.0123	-0.0029	-1.00	1.01	-1.02	0.815
FAM8A1	0.0135	0.0175	1.01	1.03	-1.01	0.199
FAM90A1	0.0186	0.0081	1.01	1.03	-1.02	0.663
FAM96B	0.0157	0.0028	1.00	1.02	-1.02	0.859
FAM98A	0.0155	-0.0227	-1.02	1.01	-1.04	0.144
FAN1	0.0212	0.0123	1.01	1.04	-1.02	0.563
FANCC	0.0160	-0.0160	-1.01	1.01	-1.03	0.318
FANCE	0.0218	0.0280	1.02	1.05	-1.01	0.201
FANCF	0.0195	-0.0059	-1.00	1.02	-1.03	0.763
FANCG	0.0213	0.0647	1.05	1.08	1.02	0.0026
FANCL	0.0250	0.0004	1.00	1.03	-1.03	0.988
FAP	0.0316	0.0242	1.02	1.06	-1.03	0.445
FAR2	0.0231	-0.0576	-1.04	-1.01	-1.07	0.0133
FARP1	0.0180	0.0125	1.01	1.03	-1.02	0.489
FARP2	0.0222	0.0500	1.04	1.07	1.00	0.025
FARS2	0.0135	-0.0128	-1.01	1.01	-1.03	0.345
FARSA	0.0268	0.0090	1.01	1.04	-1.03	0.737
FAS	0.0276	0.0309	1.02	1.06	-1.02	0.264
FASLG	0.0161	-0.0177	-1.01	1.01	-1.03	0.273
FASN	0.0257	-0.0349	-1.02	1.01	-1.06	0.175
FASTK	0.0122	-0.0226	-1.02	1.00	-1.03	0.0646
FASTKD1	0.0199	0.0163	1.01	1.04	-1.02	0.416
FASTKD2	0.0168	-0.0061	-1.00	1.02	-1.03	0.716
FASTKD3	0.0224	0.0201	1.01	1.05	-1.02	0.369
FASTKD5	0.0237	-0.0557	-1.04	-1.01	-1.07	0.0191
FAT1	0.0352	-0.0118	-1.01	1.04	-1.06	0.739
FAT2	0.0294	-0.0147	-1.01	1.03	-1.05	0.618
FAU	0.0172	0.0045	1.00	1.03	-1.02	0.794
FBL	0.0215	0.0047	1.00	1.03	-1.03	0.827
FBLN1	0.0205	0.0085	1.01	1.03	-1.02	0.677
FBLN2	0.0215	-0.0026	-1.00	1.03	-1.03	0.904
FBLN5	0.0248	0.0019	1.00	1.04	-1.03	0.938
FBN1	0.0256	0.0338	1.02	1.06	-1.01	0.188
FBP1	0.0205	0.0052	1.00	1.03	-1.02	0.799
FBRS	0.0152	0.0066	1.00	1.03	-1.02	0.661
FBXL12	0.0180	0.0201	1.01	1.04	-1.01	0.266
FBXL15	0.0210	-0.0448	-1.03	-1.00	-1.06	0.0334
FBXL18	0.0335	-0.0255	-1.02	1.03	-1.07	0.447
FBXL2	0.0173	0.0126	1.01	1.03	-1.01	0.465
FBXL5	0.0225	0.0095	1.01	1.04	-1.02	0.674
FBXL6	0.0216	-0.0053	-1.00	1.03	-1.03	0.806
FBXL7	0.0237	0.0192	1.01	1.05	-1.02	0.419
FBXO11	0.0200	0.0160	1.01	1.04	-1.02	0.425
FBXO17	0.0182	0.0124	1.01	1.03	-1.02	0.495
FBXO2	0.0260	0.0369	1.03	1.06	-1.01	0.156
FBXO21	0.0207	0.0432	1.03	1.06	1.00	0.0372
FBXO28	0.0193	0.0010	1.00	1.03	-1.03	0.957
FBXO3	0.0188	-0.0113	-1.01	1.02	-1.03	0.547
FBXO34	0.0209	0.0138	1.01	1.04	-1.02	0.511
FBXO38	0.0193	0.0077	1.01	1.03	-1.02	0.689
FBXO41	0.0185	0.0131	1.01	1.03	-1.02	0.479
FBXO42	0.0132	0.0328	1.02	1.04	1.00	0.0136
FBXO46	0.0178	-0.0089	-1.01	1.02	-1.03	0.617
FBXO7	0.0225	-0.0292	-1.02	1.01	-1.05	0.194
FBXO9	0.0356	-0.0450	-1.03	1.02	-1.08	0.207
FBXW11	0.0193	-0.0113	-1.01	1.02	-1.03	0.558
FBXW2	0.0274	0.0157	1.01	1.05	-1.03	0.567
FBXW4	0.0206	0.0052	1.00	1.03	-1.02	0.8
FBXW7	0.0321	-0.0773	-1.06	-1.01	-1.10	0.0165
FCER1G	0.0335	-0.0657	-1.05	-1.00	-1.10	0.0504
FCER2	0.0159	0.0137	1.01	1.03	-1.01	0.392
FCF1	0.0188	0.0115	1.01	1.03	-1.02	0.541
FCGBP	0.0338	-0.0824	-1.06	-1.01	-1.11	0.0153
FCGR2B	0.0166	-0.0481	-1.03	-1.01	-1.06	0.00402
FCGR3B	0.0289	-0.0686	-1.05	-1.01	-1.09	0.0183
FCGRT	0.0183	-0.0055	-1.00	1.02	-1.03	0.766
FCHO1	0.0178	-0.0219	-1.02	1.01	-1.04	0.22
FCHSD2	0.0240	0.0340	1.02	1.06	-1.01	0.158
FCN3	0.0237	0.0132	1.01	1.04	-1.02	0.577
FDFT1	0.0241	0.0090	1.01	1.04	-1.03	0.709
FDPS	0.0229	-0.0018	-1.00	1.03	-1.03	0.938
FDX1	0.0201	-0.0095	-1.01	1.02	-1.03	0.636
FDXR	0.0342	0.0568	1.04	1.09	-1.01	0.0994
FECH	0.0249	-0.0251	-1.02	1.02	-1.05	0.314
FEM1B	0.0245	0.0117	1.01	1.04	-1.03	0.633
FEM1C	0.0262	0.0121	1.01	1.04	-1.03	0.646
FEN1	0.0230	-0.0021	-1.00	1.03	-1.03	0.926
FER1L4	0.0154	0.0222	1.02	1.04	-1.01	0.15
FERMT1	0.0236	-0.0350	-1.02	1.01	-1.06	0.139
FERMT2	0.0302	0.1263	1.09	1.14	1.05	3.82e-05
FES	0.0210	-0.0142	-1.01	1.02	-1.04	0.499
FEV	0.0147	0.0026	1.00	1.02	-1.02	0.862
FEZ1	0.0189	-0.0514	-1.04	-1.01	-1.06	0.00688
FEZ2	0.0177	-0.0058	-1.00	1.02	-1.03	0.744
FEZF2	0.0458	-0.0053	-1.00	1.06	-1.07	0.908
FFAR3	0.0246	0.0315	1.02	1.06	-1.01	0.202
FGD1	0.0147	-0.0159	-1.01	1.01	-1.03	0.28
FGF1	0.0392	0.0305	1.02	1.08	-1.03	0.438
FGF12	0.0253	-0.0021	-1.00	1.03	-1.04	0.935
FGF13	0.0301	-0.0634	-1.04	-1.00	-1.09	0.036
FGF14	0.0298	0.0120	1.01	1.05	-1.03	0.688
FGF16	0.0146	0.0026	1.00	1.02	-1.02	0.859
FGF17	0.0349	-0.0074	-1.01	1.04	-1.05	0.834
FGF2	0.0338	0.0795	1.06	1.11	1.01	0.0192
FGF21	0.0141	-0.0087	-1.01	1.01	-1.03	0.54
FGF23	0.0277	-0.0275	-1.02	1.02	-1.06	0.322
FGF6	0.0182	-0.0261	-1.02	1.01	-1.04	0.151
FGF9	0.0356	0.0040	1.00	1.05	-1.05	0.91
FGFBP1	0.0177	-0.0038	-1.00	1.02	-1.03	0.831
FGFR1	0.0250	0.0316	1.02	1.06	-1.01	0.207
FGFR1OP	0.0245	-0.0024	-1.00	1.03	-1.04	0.922
FGFR2	0.0309	0.0132	1.01	1.05	-1.03	0.669
FGFR3	0.0559	0.0904	1.06	1.15	-1.01	0.107
FGGY	0.0175	0.0331	1.02	1.05	-1.00	0.0601
FGL1	0.0145	0.0122	1.01	1.03	-1.01	0.402
FGR	0.0210	-0.0047	-1.00	1.03	-1.03	0.823
FH	0.0190	0.0116	1.01	1.03	-1.02	0.543
FHIT	0.0200	0.0307	1.02	1.05	-1.01	0.126
FHL1	0.0189	0.0365	1.03	1.05	-1.00	0.0552
FHL2	0.0252	-0.0292	-1.02	1.01	-1.06	0.248
FHL3	0.0127	0.0052	1.00	1.02	-1.01	0.682
FHOD1	0.0213	-0.0069	-1.00	1.02	-1.03	0.746
FHOD3	0.0179	-0.0285	-1.02	1.00	-1.05	0.113
FIBP	0.0177	-0.0196	-1.01	1.01	-1.04	0.269
FICD	0.0193	-0.0042	-1.00	1.02	-1.03	0.826
FIG4	0.0206	0.0140	1.01	1.04	-1.02	0.499
FILIP1L	0.0415	-0.0191	-1.01	1.04	-1.07	0.645
FIS1	0.0221	-0.0130	-1.01	1.02	-1.04	0.556
FJX1	0.0290	-0.0490	-1.03	1.01	-1.08	0.092
FKBP10	0.0151	0.0105	1.01	1.03	-1.01	0.487
FKBP14	0.0358	0.0627	1.04	1.10	-1.01	0.0823
FKBP15	0.0120	-0.0089	-1.01	1.01	-1.02	0.456
FKBP1B	0.0244	0.0293	1.02	1.05	-1.01	0.23
FKBP2	0.0168	-0.0212	-1.01	1.01	-1.04	0.208
FKBP3	0.0142	-0.0114	-1.01	1.01	-1.03	0.425
FKBP4	0.0294	0.0122	1.01	1.05	-1.03	0.678
FKBP5	0.0556	0.2236	1.17	1.26	1.08	8.27e-05
FKBP6	0.0146	0.0119	1.01	1.03	-1.01	0.415
FKBP8	0.0223	0.0170	1.01	1.04	-1.02	0.446
FKBPL	0.0159	0.0143	1.01	1.03	-1.01	0.37
FKTN	0.0181	0.0436	1.03	1.06	1.01	0.0164
FLAD1	0.0158	0.0054	1.00	1.03	-1.02	0.73
FLII	0.0242	-0.0718	-1.05	-1.02	-1.09	0.00328
FLJ14107	0.0221	0.0035	1.00	1.03	-1.03	0.876
FLJ20712	0.0179	0.0109	1.01	1.03	-1.02	0.543
FLJ22184	0.0266	-0.0189	-1.01	1.02	-1.05	0.479
FLJ42627	0.0326	0.0036	1.00	1.05	-1.04	0.911
FLNA	0.0276	-0.0100	-1.01	1.03	-1.05	0.718
FLNB	0.0195	0.0286	1.02	1.05	-1.01	0.143
FLNC	0.0151	-0.0105	-1.01	1.01	-1.03	0.486
FLOT1	0.0142	-0.0164	-1.01	1.01	-1.03	0.248
FLOT2	0.0119	-0.0185	-1.01	1.00	-1.03	0.12
FLRT1	0.0244	-0.0531	-1.04	-1.00	-1.07	0.0306
FLRT2	0.0299	-0.0555	-1.04	1.00	-1.08	0.0644
FLRT3	0.0345	0.0230	1.02	1.06	-1.03	0.506
FLT1	0.0405	-0.0956	-1.07	-1.01	-1.13	0.019
FLT3	0.0243	-0.0121	-1.01	1.02	-1.04	0.619
FMNL1	0.0180	-0.0378	-1.03	-1.00	-1.05	0.0368
FMO2	0.0190	0.0098	1.01	1.03	-1.02	0.606
FMO4	0.0152	-0.0188	-1.01	1.01	-1.03	0.217
FMOD	0.0187	-0.0025	-1.00	1.02	-1.03	0.896
